layer,model,task,group,data_pct,chunk_bits,cumulative_bits,bits_per_sample,accuracy,eval_split
8,base,multitask_dual,all,0.9499999999999997,10609.1162109375,378384.4952392578,15.843256510457556,0.17263325676321983,
8,base,multitask_dual,all,0.9999999999999998,16151.14599609375,394535.64123535156,15.69354181524867,0.2657120004296303,
8,base,multitask_dual,all,test,112969.51953125,394535.64123535156,13.479241084745258,0.24161794781684875,test
8,base_control,multitask_dual,all,0.02,3227.3123779296875,3227.3123779296875,6.4289091193818475,0.0468127503991127,
8,base_control,multitask_dual,all,0.04,8490.48583984375,11717.798217773438,11.659500714202425,0.1252485029399395,
8,base_control,multitask_dual,all,0.06,10709.25927734375,22427.057495117188,14.872054041854899,0.07355864718556404,
8,base_control,multitask_dual,all,0.08,12848.89404296875,35275.95153808594,17.541497532613594,0.06759442947804928,
8,base_control,multitask_dual,all,0.1,10638.625244140625,45914.57678222656,18.263554805977154,0.11332007497549057,
8,base_control,multitask_dual,all,0.12000000000000001,11905.96923828125,57820.54602050781,19.17126857443893,0.0657370537519455,
8,base_control,multitask_dual,all,0.13999999999999999,8760.650390625,66581.19641113281,18.92048775536596,0.10536778904497623,
8,base_control,multitask_dual,all,0.16,11855.335693359375,78436.53210449219,19.501872726129335,0.09145128726959229,
8,base_control,multitask_dual,all,0.18,11466.785400390625,89903.31750488281,19.868136465167474,0.069582499563694,
8,base_control,multitask_dual,all,0.2,12906.098388671875,102809.41589355469,20.44737786267993,0.037773359566926956,
8,base_control,multitask_dual,all,0.25,32787.2978515625,135596.7137451172,21.5746561249192,0.07279236055910587,
8,base_control,multitask_dual,all,0.3,33908.8994140625,169505.6131591797,22.47488904258548,0.04773269593715668,
8,base_control,multitask_dual,all,0.35,29228.15771484375,198733.77087402344,22.585949639052554,0.07319013588130474,
8,base_control,multitask_dual,all,0.39999999999999997,33093.25048828125,231827.0213623047,23.05360196522521,0.07199681736528873,
8,base_control,multitask_dual,all,0.44999999999999996,36358.435546875,268185.4569091797,23.705953938758924,0.0576770082116127,
8,base_control,multitask_dual,all,0.49999999999999994,24896.2890625,293081.7459716797,23.315970244365925,0.05011933110654354,
