attribute,layer,kl_divergence,kl_divergence_reverse,js_divergence,kl_ci_lower,kl_ci_upper,js_ci_lower,js_ci_upper,kl_std_error,js_std_error,n_samples,pca_enabled,pca_dim,kl_divergence_label
Sports,16,233.85067673538242,230.6751565621811,45.275855096217924,1175.011933753622,1196.6428586134716,113.56908096638448,114.39797356099274,5.607731929111526,0.21514855049754258,342,False,,baseline
Sports,24,259.2342489358757,246.8088846543776,49.24692510505855,1134.5379024620524,1156.5828378020926,114.75342094429571,115.66565619705946,5.837625942641642,0.23445416348074605,342,False,,baseline
Sports,28,602.287882771212,700.3775320227785,126.62653219517375,1393.351677059423,1415.1400269101794,200.90935061100524,202.23227268644786,5.6991264942670465,0.35788420289817213,342,False,,high
Tourism,8,173.009506226545,169.59322049002594,39.35132528330553,477.8982533328557,479.43591887924543,94.85308572161522,95.05807895266524,0.3962493880674779,0.05260710693816005,5613,False,,baseline
Tourism,16,157.1564988615355,164.52901217356327,35.407692877631234,430.4406862234538,431.79552429036056,86.76825199398068,86.9641138953583,0.3398478553918633,0.048717760331717375,5613,False,,baseline
Tourism,24,178.81560384762906,176.51849995252894,37.80634336490874,470.30740964289834,471.88259552130677,90.90607871865018,91.11522589202868,0.41073398010029033,0.052805622310248906,5613,False,,baseline
Tourism,28,482.26422342726596,567.4003908543016,109.00138481260535,825.5321170934815,827.9639337683428,170.50334206656962,170.81963801518637,0.6363371122955312,0.08289580833211067,5613,False,,moderate
Transport,8,165.17222170642503,156.0140143460734,35.17381269186808,1048.2128465222886,1076.771230030484,82.65985601345194,83.49482128626654,7.3828054070662565,0.22334056588674103,183,False,,baseline
Transport,16,168.2511568673374,172.42567172127542,33.948520963464205,951.9789742450222,975.4763691851194,79.34350908049313,80.10181284804409,6.014065102268997,0.19581866474705867,183,False,,baseline
Transport,24,176.81593189873934,172.70758308642337,36.08169736252415,866.110709966591,888.5440884284964,78.59354129374616,79.48461508682983,6.0442293329821455,0.23098527186402013,183,False,,baseline
Transport,28,437.7944182128333,536.8180789727173,99.52999107877076,1057.6635558629428,1078.2591588195892,148.09328152939116,149.33629770253688,5.42792507343841,0.3307057004858257,183,False,,moderate
