state,layer,kl_divergence,kl_divergence_reverse,js_divergence,kl_ci_lower,kl_ci_upper,js_ci_lower,js_ci_upper,kl_std_error,js_std_error,n_samples,pca_enabled,pca_dim,kl_divergence_label
Nagaland,8,278.20835951002914,260.422911735913,56.97800779536857,1387.673710118503,1402.185680144012,181.05016714301695,181.86584311505501,3.6409667716303415,0.21531293115132596,1224,False,,baseline
Nagaland,16,214.8014163113844,219.5922965995345,45.31437281789516,1063.0848144670529,1073.2108765068867,149.29377964921346,149.94939731024755,2.5400611099496753,0.1670533459163887,1224,False,,baseline
Nagaland,24,226.88183698528724,218.15246734615744,44.96372132729596,908.5905534530385,916.8672824518619,134.11496310744653,134.72820833126295,2.053942881168745,0.15656359501992106,1224,False,,baseline
Nagaland,28,606.6436233685499,714.2611593510867,129.28901693083964,1349.9368664474307,1357.9929515436363,234.54345661426777,235.31221801571905,2.089729918645829,0.1876392292783921,1224,False,,high
Odisha,8,223.12096623005982,216.87892513622012,47.949815541123826,1154.0756232758813,1165.475997104338,155.69730469465352,156.4493532680781,2.887000075965837,0.18989442194931794,1068,False,,baseline
Odisha,16,200.17101836167387,203.74408430978292,42.096865187976164,1039.2208568190217,1049.3151491439505,142.4194478609808,143.1005756186669,2.5808239251188576,0.17240131363030703,1068,False,,baseline
Odisha,24,222.42048610031293,212.28906621300564,45.39062683263535,997.7416332008578,1008.2865358260698,139.28442485805184,139.98249483130633,2.6996316242371385,0.17959325356460645,1068,False,,baseline
Odisha,28,589.1224712268784,681.0348822249985,127.92472448348497,1383.1323344230605,1393.571499332805,234.83315310491773,235.70146481380968,2.6566131287832833,0.21908732309864948,1068,False,,high
Puducherry,8,177.81796885987478,171.53664632596394,37.96472357813383,993.8045715010378,1005.3875155218186,119.35138515154325,120.03286192272427,3.0318147781074987,0.17733463574999161,588,False,,baseline
Puducherry,16,191.09789695523932,191.57335955121982,39.15939764240085,944.8479442235395,955.0014897731403,116.8671580860938,117.4703337826276,2.6895267172898554,0.16109737289277298,588,False,,baseline
Puducherry,24,178.82430367827078,167.71648003534233,36.93094568726099,792.3259332704474,801.3009213123863,104.6120308702339,105.18970382034969,2.2379853877959017,0.14467543914432826,588,False,,baseline
Puducherry,28,488.69582612260933,546.5869345470978,106.05307083364119,1136.8945826339504,1146.6548530125665,184.78151665559935,185.51297902736093,2.3573153233920925,0.18726576830065417,588,False,,high
Punjab,8,232.39070309161616,223.078560647445,47.90244132010855,1118.691505389801,1129.0144207167837,149.35690513847337,150.05561008000333,2.642163180459216,0.1830802781934935,969,False,,baseline
Punjab,16,211.42649996129467,216.90491927672042,43.5738956460433,1024.393756037748,1033.5186010454836,138.66601040639114,139.3404200836529,2.437334336274203,0.17398627855349288,969,False,,baseline
Punjab,24,236.12514920974286,227.03427944205316,47.47720456815284,943.3767798335192,952.4430102491714,134.10997601523457,134.75867008145465,2.3099893841736456,0.1707401711780172,969,False,,baseline
Punjab,28,654.4677545167438,765.4523144230739,137.54989860065092,1436.4797018365664,1447.2645115929795,241.74113124369566,242.73602913634988,2.7226355929554855,0.24527882492785683,969,False,,high
Rajasthan,8,230.22949005689884,220.80487849765575,48.96629379125187,1278.13034258435,1292.6936551141596,156.98576654303488,157.88764459309454,3.648622544973043,0.22704210356486168,861,False,,baseline
