layer,model,task,group,data_pct,chunk_bits,cumulative_bits,bits_per_sample,accuracy
8,instruct,state,enhancement,0.7499999999999998,5206.02734375,57939.96423339844,6.454268044268512,0.0852842777967453
8,instruct,state,enhancement,0.7999999999999998,2771.536376953125,60711.50061035156,6.340626695598075,0.07859531790018082
8,instruct,state,enhancement,0.8499999999999999,3005.90966796875,63717.41027832031,6.262768849844733,0.11352253705263138
8,instruct,state,enhancement,0.8999999999999999,3098.60595703125,66816.01623535156,6.202749372015555,0.1354515105485916
8,instruct,state,enhancement,0.9499999999999997,4740.4150390625,71556.43127441406,6.292888160620356,0.08681134879589081
8,instruct,state,enhancement,0.9999999999999998,4629.57958984375,76186.01086425781,6.365277873193902,0.13712374866008759
8,instruct,correctness_instruct,enhancement,0.02,140.74781799316406,140.74781799316406,0.5889030041554981,0.8117154836654663
8,instruct,correctness_instruct,enhancement,0.04,3046.44189453125,3187.189712524414,6.667760904862791,0.8033472299575806
8,instruct,correctness_instruct,enhancement,0.06,4305.6923828125,7492.882095336914,10.43576893500963,0.7458333969116211
8,instruct,correctness_instruct,enhancement,0.08,3306.42822265625,10799.310317993164,11.284545786826712,0.7698744535446167
8,instruct,correctness_instruct,enhancement,0.1,3349.772216796875,14149.082534790039,11.82045324543863,0.7833333611488342
8,instruct,correctness_instruct,enhancement,0.12000000000000001,3248.299560546875,17397.382095336914,12.115168590067489,0.7489539384841919
8,instruct,correctness_instruct,enhancement,0.13999999999999999,2130.29296875,19527.675064086914,11.658313471096665,0.7656903862953186
8,instruct,correctness_instruct,enhancement,0.16,1189.99365234375,20717.668716430664,10.818625961582592,0.8000000715255737
8,instruct,correctness_instruct,enhancement,0.18,158.3945770263672,20876.06329345703,9.691765688698714,0.6359832286834717
8,instruct,correctness_instruct,enhancement,0.2,3890.83642578125,24766.89971923828,10.345405062338463,0.20416668057441711
8,instruct,correctness_instruct,enhancement,0.25,13383.1103515625,38150.01007080078,12.750671815107212,0.7525083422660828
8,instruct,correctness_instruct,enhancement,0.3,1960.755615234375,40110.765686035156,11.169803866899237,0.24040065705776215
8,instruct,correctness_instruct,enhancement,0.35,10168.2119140625,50278.977600097656,12.002620577726821,0.23578594624996185
8,instruct,correctness_instruct,enhancement,0.39999999999999997,13030.4755859375,63309.453186035156,13.222525728077517,0.7479131817817688
8,instruct,correctness_instruct,enhancement,0.44999999999999996,5205.33203125,68514.78521728516,12.720903308073739,0.782608687877655
8,instruct,correctness_instruct,enhancement,0.49999999999999994,3198.056396484375,71712.84161376953,11.984097863263624,0.764214038848877
8,instruct,correctness_instruct,enhancement,0.5499999999999999,436.28839111328125,72149.13000488281,10.959916452207628,0.816360592842102
8,instruct,correctness_instruct,enhancement,0.5999999999999999,8077.3486328125,80226.47863769531,11.172048271507494,0.24916388094425201
8,instruct,correctness_instruct,enhancement,0.6499999999999999,10129.73828125,90356.21691894531,11.613909629684487,0.7813021540641785
8,instruct,correctness_instruct,enhancement,0.7,9061.541015625,99417.75793457031,11.865110148534468,0.7612687349319458
8,instruct,correctness_instruct,enhancement,0.7499999999999998,3641.34716796875,103059.10510253906,11.480350351179577,0.7709029912948608
8,instruct,correctness_instruct,enhancement,0.7999999999999998,4591.81396484375,107650.91906738281,11.242915829491677,0.7625417709350586
8,instruct,correctness_instruct,enhancement,0.8499999999999999,10702.2724609375,118353.19152832031,11.63290657836842,0.7762938141822815
8,instruct,correctness_instruct,enhancement,0.8999999999999999,321.8999328613281,118675.09146118164,11.016996979315042,0.7692307829856873
8,instruct,correctness_instruct,enhancement,0.9499999999999997,414.6466369628906,119089.73809814453,10.47311037711235,0.7245408892631531
8,instruct,correctness_instruct,enhancement,0.9999999999999998,1629.372802734375,120719.1109008789,10.085981360253898,0.7525083422660828
8,instruct,multitask_dual,enhancement,0.02,1573.517333984375,1573.517333984375,6.583754535499477,0.0
8,instruct,multitask_dual,enhancement,0.04,2711.22900390625,4284.746337890625,8.96390447257453,0.11297070980072021
8,instruct,multitask_dual,enhancement,0.06,3914.555419921875,8199.3017578125,11.41964033121518,0.12083333730697632
8,instruct,multitask_dual,enhancement,0.08,3990.686767578125,12189.988525390625,12.737710057879442,0.15481171011924744
8,instruct,multitask_dual,enhancement,0.1,3565.481689453125,15755.47021484375,13.16246467405493,0.10000000894069672
8,instruct,multitask_dual,enhancement,0.12000000000000001,4398.46337890625,20153.93359375,14.034772697597493,0.06276150792837143
8,instruct,multitask_dual,enhancement,0.13999999999999999,6372.86181640625,26526.79541015625,15.836892782182836,0.08786610513925552
8,instruct,multitask_dual,enhancement,0.16,2145.056884765625,28671.852294921875,14.972246629202024,0.1666666716337204
8,instruct,multitask_dual,enhancement,0.18,3535.734619140625,32207.5869140625,14.952454463353064,0.21338911354541779
8,instruct,multitask_dual,enhancement,0.2,3825.1455078125,36032.732421875,15.051266675804094,0.07500000298023224
8,instruct,multitask_dual,enhancement,0.25,7183.052734375,43215.78515625,14.443778461313503,0.046822741627693176
8,instruct,multitask_dual,enhancement,0.3,7638.46337890625,50854.24853515625,14.161584108926832,0.18196994066238403
8,instruct,multitask_dual,enhancement,0.35,6871.193359375,57725.44189453125,13.780243947130879,0.27424749732017517
8,instruct,multitask_dual,enhancement,0.39999999999999997,4124.26904296875,61849.7109375,12.917650571741854,0.39065107703208923
8,instruct,multitask_dual,enhancement,0.44999999999999996,5686.07275390625,67535.78369140625,12.539135479280775,0.19732441008090973
8,instruct,multitask_dual,enhancement,0.49999999999999994,6617.03857421875,74152.822265625,12.39184864064589,0.1538461595773697
8,instruct,multitask_dual,enhancement,0.5499999999999999,10221.3056640625,84374.1279296875,12.816972190443186,0.23539231717586517
8,instruct,multitask_dual,enhancement,0.5999999999999999,5810.9228515625,90185.05078125,12.558842888351204,0.16053511202335358
8,instruct,multitask_dual,enhancement,0.6499999999999999,4453.36474609375,94638.41552734375,12.164320761869376,0.33388981223106384
8,instruct,multitask_dual,enhancement,0.7,6707.93701171875,101346.3525390625,12.09528016935941,0.27045074105262756
8,instruct,multitask_dual,enhancement,0.7499999999999998,3904.92529296875,105251.27783203125,11.724549162529938,0.2157190591096878
8,instruct,multitask_dual,enhancement,0.7999999999999998,5438.38818359375,110689.666015625,11.560278435052219,0.19230769574642181
8,instruct,multitask_dual,enhancement,0.8499999999999999,6228.35498046875,116918.02099609375,11.49184401376978,0.38564273715019226
8,instruct,multitask_dual,enhancement,0.8999999999999999,4997.12060546875,121915.1416015625,11.317781433490763,0.17224080860614777
8,instruct,multitask_dual,enhancement,0.9499999999999997,4139.72265625,126054.8642578125,11.085644557014554,0.42737895250320435
8,instruct,multitask_dual,enhancement,0.9999999999999998,3338.6943359375,129393.55859375,10.810724253801487,0.2959866225719452
8,instruct,multitask_triple_instruct,enhancement,0.02,1601.88427734375,1601.88427734375,6.702444675078452,0.0
8,instruct,multitask_triple_instruct,enhancement,0.04,3330.66455078125,4932.548828125,10.319139807792887,0.09623430669307709
8,instruct,multitask_triple_instruct,enhancement,0.06,4131.033203125,9063.58203125,12.623373302576601,0.15416666865348816
8,instruct,multitask_triple_instruct,enhancement,0.08,3648.823974609375,12712.406005859375,13.283600842068312,0.07531380653381348
8,instruct,multitask_triple_instruct,enhancement,0.1,7135.751953125,19848.157958984375,16.581585596478174,0.05000000447034836
8,instruct,multitask_triple_instruct,enhancement,0.12000000000000001,2716.079345703125,22564.2373046875,15.713257175966225,0.22594141960144043
8,instruct,multitask_triple_instruct,enhancement,0.13999999999999999,5655.37451171875,28219.61181640625,16.8475294426306,0.17154811322689056
8,instruct,multitask_triple_instruct,enhancement,0.16,3468.703857421875,31688.315673828125,16.547423328369778,0.08750000596046448
8,instruct,multitask_triple_instruct,enhancement,0.18,4960.89453125,36649.210205078125,17.014489417399314,0.15062761306762695
8,instruct,multitask_triple_instruct,enhancement,0.2,3866.258544921875,40515.46875,16.92375469924812,0.04583333432674408
8,instruct,multitask_triple_instruct,enhancement,0.25,6399.18994140625,46914.65869140625,15.680032985095671,0.15719063580036163
8,instruct,multitask_triple_instruct,enhancement,0.3,7098.517578125,54013.17626953125,15.041263232952172,0.21202002465724945
8,instruct,multitask_triple_instruct,enhancement,0.35,7926.158203125,61939.33447265625,14.786186314790225,0.21404682099819183
8,instruct,multitask_triple_instruct,enhancement,0.39999999999999997,5965.01904296875,67904.353515625,14.18219580526838,0.13522537052631378
8,instruct,multitask_triple_instruct,enhancement,0.44999999999999996,4252.63671875,72156.990234375,13.397138922089677,0.3645485043525696
8,instruct,multitask_triple_instruct,enhancement,0.49999999999999994,9774.2333984375,81931.2236328125,13.691715179280164,0.2775919735431671
8,instruct,multitask_triple_instruct,enhancement,0.5499999999999999,3632.3369140625,85563.560546875,12.997654647861918,0.1869782954454422
8,instruct,multitask_triple_instruct,enhancement,0.5999999999999999,7146.42431640625,92709.98486328125,12.910456045576,0.3528428077697754
8,instruct,multitask_triple_instruct,enhancement,0.6499999999999999,5356.384765625,98066.36962890625,12.604931828908258,0.23205341398715973
8,instruct,multitask_triple_instruct,enhancement,0.7,8857.73828125,106924.10791015625,12.760962872676483,0.24040065705776215
8,instruct,multitask_triple_instruct,enhancement,0.7499999999999998,5399.802734375,112323.91064453125,12.512410676677202,0.30434781312942505
8,instruct,multitask_triple_instruct,enhancement,0.7999999999999998,4943.904296875,117267.81494140625,12.247291377692559,0.3177257478237152
8,instruct,multitask_triple_instruct,enhancement,0.8499999999999999,5398.23193359375,122666.046875,12.056816087576175,0.3505842983722687
8,instruct,multitask_triple_instruct,enhancement,0.8999999999999999,3346.109619140625,126012.15649414062,11.698120729125568,0.3244147002696991
8,instruct,multitask_triple_instruct,enhancement,0.9499999999999997,4500.38525390625,130512.54174804688,11.47766614616541,0.3105175197124481
8,instruct,multitask_triple_instruct,enhancement,0.9999999999999998,6190.7958984375,136703.33764648438,11.421450216934112,0.27424749732017517
16,base,attribute,all,0.02,2042.3662109375,2042.3662109375,3.048307777518657,0.07611940056085587
16,base,attribute,all,0.04,15699.0634765625,17741.4296875,13.239872901119403,0.07313432544469833
16,base,attribute,all,0.06,15354.4892578125,33095.9189453125,16.457443533223522,0.14903129637241364
16,base,attribute,all,0.08,17089.041015625,50184.9599609375,18.718746721722304,0.12985074520111084
16,base,attribute,all,0.1,14554.1396484375,64739.099609375,19.313573869145287,0.18479880690574646
16,base,attribute,all,0.12000000000000001,16271.1025390625,81010.2021484375,20.141770797721904,0.14776119589805603
16,base,attribute,all,0.13999999999999999,8979.296875,89989.4990234375,19.175260818972404,0.07749627530574799
16,base,attribute,all,0.16,9652.9345703125,99642.43359375,18.579607233591272,0.2283582091331482
