cluster_id,size,suppression_pct,enhancement_pct,control_pct,top_states,top_attributes,base_accuracy,instruct_accuracy
51,115,14.782608695652174,61.73913043478261,23.47826086956522,"{'Nagaland': 97, 'Telangana': 15, 'Arunachal_Pradesh': 3}","{'Festivals': 84, 'Costume': 12, 'Rituals_and_Ceremonies': 9}",0.7304347826086957,0.8
52,84,28.57142857142857,42.857142857142854,28.57142857142857,"{'Gujarat': 30, 'Sikkim': 24, 'Telangana': 18}","{'Rituals_and_Ceremonies': 30, 'Tourism': 24, 'History': 18}",0.6071428571428571,0.8214285714285714
53,62,17.741935483870968,19.35483870967742,62.903225806451616,"{'Punjab': 45, 'Puducherry': 12, 'Gujarat': 3}","{'Cuisine': 46, 'Tourism': 15, 'Costume': 1}",0.7580645161290323,0.7258064516129032
54,54,33.33333333333333,22.22222222222222,44.44444444444444,"{'Puducherry': 21, 'Telangana': 18, 'Meghalaya': 15}","{'Cultural_Common_Sense': 21, 'History': 18, 'Tourism': 15}",0.8888888888888888,0.7222222222222222
55,111,62.16216216216216,37.83783783783784,0.0,{'Jharkhand': 111},{'Cuisine': 111},0.6486486486486487,0.43243243243243246
56,57,31.57894736842105,36.84210526315789,31.57894736842105,"{'West_Bengal': 33, 'Andaman_and_Nicobar': 24}","{'Tourism': 33, 'Cultural_Common_Sense': 24}",0.7368421052631579,0.7368421052631579
57,144,66.66666666666666,30.555555555555557,2.7777777777777777,"{'Karnataka': 126, 'Tripura': 18}","{'Rituals_and_Ceremonies': 39, 'History': 30, 'Cultural_Common_Sense': 24}",0.5972222222222222,0.5555555555555556
58,69,65.21739130434783,34.78260869565217,0.0,"{'Goa': 27, 'West_Bengal': 18, 'Dadra_and_Nagar_Haveli_and_Daman_and_Diu': 15}","{'Dance_and_Music': 27, 'Costume': 18, 'Tourism': 15}",0.4782608695652174,0.391304347826087
59,51,11.76470588235294,5.88235294117647,82.35294117647058,{'Telangana': 51},"{'Costume': 27, 'Tourism': 24}",0.7058823529411765,0.6470588235294118
60,177,44.06779661016949,23.728813559322035,32.20338983050847,"{'Telangana': 63, 'Mizoram': 30, 'Bihar': 24}","{'Sports': 36, 'History': 36, 'Cultural_Common_Sense': 33}",0.6779661016949152,0.576271186440678
61,108,27.77777777777778,13.88888888888889,58.333333333333336,"{'Puducherry': 51, 'Maharashtra': 30, 'Telangana': 21}","{'Cultural_Common_Sense': 42, 'Rituals_and_Ceremonies': 33, 'Festivals': 30}",0.9166666666666666,0.8333333333333334
62,51,29.411764705882355,17.647058823529413,52.94117647058824,"{'Tamil_Nadu': 33, 'Arunachal_Pradesh': 18}","{'Art': 33, 'Tourism': 18}",0.8235294117647058,0.6470588235294118
63,63,33.33333333333333,9.523809523809524,57.14285714285714,{'Telangana': 63},{'Art': 63},0.8571428571428571,0.6666666666666666
64,69,8.695652173913043,65.21739130434783,26.08695652173913,"{'Manipur': 30, 'Himachal_Pradesh': 24, 'Tripura': 15}","{'Tourism': 45, 'Cultural_Common_Sense': 24}",0.5217391304347826,0.6956521739130435
65,88,10.227272727272728,59.09090909090909,30.681818181818183,"{'Goa': 55, 'Tamil_Nadu': 33}","{'Festivals': 54, 'Dance_and_Music': 33, 'Tourism': 1}",0.6136363636363636,0.625
66,54,38.88888888888889,11.11111111111111,50.0,"{'Manipur': 24, 'Karnataka': 15, 'Punjab': 15}","{'Festivals': 24, 'Cuisine': 15, 'History': 15}",0.7222222222222222,0.5
67,54,33.33333333333333,50.0,16.666666666666664,"{'Tamil_Nadu': 24, 'Maharashtra': 15, 'Gujarat': 15}","{'Festivals': 39, 'Cultural_Common_Sense': 15}",0.6666666666666666,0.7222222222222222
68,111,51.35135135135135,35.13513513513514,13.513513513513514,"{'Himachal_Pradesh': 33, 'Rajasthan': 27, 'Karnataka': 21}","{'Costume': 33, 'Rituals_and_Ceremonies': 24, 'Cultural_Common_Sense': 24}",0.6756756756756757,0.6216216216216216
69,158,51.26582278481012,36.075949367088604,12.658227848101266,"{'Assam': 81, 'Tripura': 36, 'Tamil_Nadu': 27}","{'Tourism': 80, 'Cuisine': 75, 'Rituals_and_Ceremonies': 3}",0.7341772151898734,0.8291139240506329
70,139,23.741007194244602,45.32374100719424,30.935251798561154,"{'Manipur': 93, 'Delhi': 24, 'Punjab': 22}","{'Personalities': 57, 'Language': 46, 'Sports': 36}",0.7482014388489209,0.7410071942446043
71,51,29.411764705882355,11.76470588235294,58.82352941176471,"{'Telangana': 33, 'Arunachal_Pradesh': 18}","{'History': 33, 'Festivals': 18}",0.6470588235294118,0.47058823529411764
72,63,66.66666666666666,33.33333333333333,0.0,"{'Andhra_Pradesh': 57, 'Maharashtra': 6}","{'Sports': 54, 'Art': 9}",0.9047619047619048,0.7619047619047619
73,70,21.428571428571427,22.857142857142858,55.714285714285715,"{'Punjab': 36, 'Arunachal_Pradesh': 18, 'Telangana': 15}","{'Personalities': 36, 'Festivals': 18, 'History': 15}",0.7714285714285715,0.6142857142857143
74,168,14.285714285714285,37.5,48.214285714285715,"{'Sikkim': 48, 'West_Bengal': 36, 'Telangana': 27}","{'Tourism': 51, 'Cultural_Common_Sense': 48, 'Art': 42}",0.7678571428571429,0.7678571428571429
75,130,60.76923076923077,14.615384615384617,24.615384615384617,"{'Telangana': 44, 'Ladakh': 26, 'Rajasthan': 15}","{'Personalities': 41, 'History': 30, 'Tourism': 17}",0.6615384615384615,0.6153846153846154
76,84,21.428571428571427,57.14285714285714,21.428571428571427,{'Tripura': 84},"{'History': 75, 'Cultural_Common_Sense': 9}",0.5357142857142857,0.5714285714285714
77,63,90.47619047619048,9.523809523809524,0.0,"{'Haryana': 57, 'Puducherry': 6}",{'History': 63},0.6190476190476191,0.47619047619047616
78,63,33.33333333333333,52.38095238095239,14.285714285714285,"{'Tamil_Nadu': 36, 'Jharkhand': 18, 'Assam': 9}","{'Cultural_Common_Sense': 36, 'Personalities': 18, 'History': 9}",0.38095238095238093,0.6666666666666666
79,53,28.30188679245283,7.547169811320755,64.15094339622641,"{'Tamil_Nadu': 52, 'Andhra_Pradesh': 1}","{'Cuisine': 34, 'Festivals': 18, 'Rituals_and_Ceremonies': 1}",0.8679245283018868,0.9245283018867925
80,90,46.666666666666664,6.666666666666667,46.666666666666664,"{'Maharashtra': 57, 'Tamil_Nadu': 18, 'Karnataka': 15}","{'History': 57, 'Costume': 18, 'Cultural_Common_Sense': 15}",0.8444444444444444,0.8444444444444444
81,102,26.47058823529412,58.82352941176471,14.705882352941178,"{'Nagaland': 42, 'Mizoram': 33, 'Jharkhand': 27}","{'Festivals': 36, 'History': 33, 'Tourism': 27}",0.6176470588235294,0.7352941176470589
82,51,52.94117647058824,29.411764705882355,17.647058823529413,"{'Sikkim': 21, 'Nagaland': 18, 'Karnataka': 12}","{'Tourism': 39, 'Personalities': 12}",0.8235294117647058,0.7058823529411765
83,70,30.0,57.14285714285714,12.857142857142856,"{'Nagaland': 43, 'Mizoram': 27}","{'Festivals': 40, 'Tourism': 27, 'Rituals_and_Ceremonies': 3}",0.5142857142857142,0.6
84,135,33.33333333333333,42.96296296296296,23.703703703703706,"{'Meghalaya': 33, 'Haryana': 27, 'Karnataka': 21}","{'Festivals': 54, 'Cultural_Common_Sense': 33, 'Cuisine': 30}",0.7333333333333333,0.6592592592592592
85,118,50.847457627118644,41.52542372881356,7.627118644067797,"{'Jharkhand': 48, 'Karnataka': 29, 'Nagaland': 20}","{'Dance_and_Music': 35, 'Transport': 33, 'Cultural_Common_Sense': 20}",0.7796610169491526,0.4067796610169492
86,51,29.411764705882355,0.0,70.58823529411765,{'Telangana': 51},{'Art': 51},0.8823529411764706,0.7058823529411765
87,99,27.27272727272727,54.54545454545454,18.181818181818183,"{'Gujarat': 27, 'Tamil_Nadu': 24, 'Arunachal_Pradesh': 18}","{'Tourism': 63, 'Rituals_and_Ceremonies': 24, 'Personalities': 12}",0.6363636363636364,0.6666666666666666
88,85,41.17647058823529,48.23529411764706,10.588235294117647,"{'Karnataka': 42, 'Himachal_Pradesh': 28, 'Punjab': 15}","{'Dance_and_Music': 42, 'Cultural_Common_Sense': 28, 'Art': 15}",0.5529411764705883,0.7294117647058823
89,149,54.36241610738255,32.21476510067114,13.422818791946309,"{'Nagaland': 48, 'Manipur': 38, 'Karnataka': 30}","{'Tourism': 56, 'Cultural_Common_Sense': 36, 'Festivals': 24}",0.5369127516778524,0.436241610738255
